stage,slot,actual,actual_name,source_note
16_delsfinale,1,RSA,South Africa,Korrigert fasit 12. juli 2026
16_delsfinale,2,CAN,Canada,Korrigert fasit 12. juli 2026
16_delsfinale,3,BRA,Brazil,Korrigert fasit 12. juli 2026
16_delsfinale,4,JAP,Japan,Korrigert fasit 12. juli 2026
16_delsfinale,5,GER,Germany,Korrigert fasit 12. juli 2026
16_delsfinale,6,PAR,Paraguay,Korrigert fasit 12. juli 2026
16_delsfinale,7,NED,Netherlands,Korrigert fasit 12. juli 2026
16_delsfinale,8,MAR,Morocco,Korrigert fasit 12. juli 2026
16_delsfinale,9,CIV,Ivory Coast,Korrigert fasit 12. juli 2026
16_delsfinale,10,NOR,Norway,Korrigert fasit 12. juli 2026
16_delsfinale,11,FRA,France,Korrigert fasit 12. juli 2026
16_delsfinale,12,SWE,Sweden,Korrigert fasit 12. juli 2026
16_delsfinale,13,MEX,Mexico,Korrigert fasit 12. juli 2026
16_delsfinale,14,ECU,Ecuador,Korrigert fasit 12. juli 2026
16_delsfinale,15,ENG,England,Korrigert fasit 12. juli 2026
16_delsfinale,16,COD,DR Congo,Korrigert fasit 12. juli 2026
16_delsfinale,17,BEL,Belgium,Korrigert fasit 12. juli 2026
16_delsfinale,18,SEN,Senegal,Korrigert fasit 12. juli 2026
16_delsfinale,19,USA,United States,Korrigert fasit 12. juli 2026
16_delsfinale,20,BIH,Bosnia and Herzegovina,Korrigert fasit 12. juli 2026
16_delsfinale,21,ESP,Spain,Korrigert fasit 12. juli 2026
16_delsfinale,22,AUT,Austria,Korrigert fasit 12. juli 2026
16_delsfinale,23,POR,Portugal,Korrigert fasit 12. juli 2026
16_delsfinale,24,CRO,Croatia,Korrigert fasit 12. juli 2026
16_delsfinale,25,SUI,Switzerland,Korrigert fasit 12. juli 2026
16_delsfinale,26,ALG,Algeria,Korrigert fasit 12. juli 2026
16_delsfinale,27,AUS,Australia,Korrigert fasit 12. juli 2026
16_delsfinale,28,EGY,Egypt,Korrigert fasit 12. juli 2026
16_delsfinale,29,ARG,Argentina,Korrigert fasit 12. juli 2026
16_delsfinale,30,CPV,Cape Verde,Korrigert fasit 12. juli 2026
16_delsfinale,31,COL,Colombia,Korrigert fasit 12. juli 2026
16_delsfinale,32,GHA,Ghana,Korrigert fasit 12. juli 2026
8_delsfinale,1,CAN,Canada,Korrigert fasit 12. juli 2026
8_delsfinale,2,MAR,Morocco,Korrigert fasit 12. juli 2026
8_delsfinale,3,PAR,Paraguay,Korrigert fasit 12. juli 2026
8_delsfinale,4,FRA,France,Korrigert fasit 12. juli 2026
8_delsfinale,5,BRA,Brazil,Korrigert fasit 12. juli 2026
8_delsfinale,6,NOR,Norway,Korrigert fasit 12. juli 2026
8_delsfinale,7,MEX,Mexico,Korrigert fasit 12. juli 2026
8_delsfinale,8,ENG,England,Korrigert fasit 12. juli 2026
8_delsfinale,9,POR,Portugal,Korrigert fasit 12. juli 2026
8_delsfinale,10,ESP,Spain,Korrigert fasit 12. juli 2026
8_delsfinale,11,USA,United States,Korrigert fasit 12. juli 2026
8_delsfinale,12,BEL,Belgium,Korrigert fasit 12. juli 2026
8_delsfinale,13,ARG,Argentina,Korrigert fasit 12. juli 2026
8_delsfinale,14,EGY,Egypt,Korrigert fasit 12. juli 2026
8_delsfinale,15,SUI,Switzerland,Korrigert fasit 12. juli 2026
8_delsfinale,16,COL,Colombia,Korrigert fasit 12. juli 2026
kvartfinale,1,MAR,Morocco,Korrigert fasit 12. juli 2026
kvartfinale,2,FRA,France,Korrigert fasit 12. juli 2026
kvartfinale,3,NOR,Norway,Korrigert fasit 12. juli 2026
kvartfinale,4,ENG,England,Korrigert fasit 12. juli 2026
kvartfinale,5,ESP,Spain,Korrigert fasit 12. juli 2026
kvartfinale,6,BEL,Belgium,Korrigert fasit 12. juli 2026
kvartfinale,7,ARG,Argentina,Korrigert fasit 12. juli 2026
kvartfinale,8,SUI,Switzerland,Korrigert fasit 12. juli 2026
semifinale,1,FRA,France,Korrigert fasit 12. juli 2026
semifinale,2,ESP,Spain,Korrigert fasit 12. juli 2026
semifinale,3,ENG,England,Korrigert fasit 12. juli 2026
semifinale,4,ARG,Argentina,Korrigert fasit 12. juli 2026
